Date,Year,Quarter,MonthName,MonthNo,Day of Month,Day Name,Day of Week No
2010-01-01 00:00:00,2010,1,January,1,1,Fri,5
2010-01-02 00:00:00,2010,1,January,1,2,Sat,6
2010-01-03 00:00:00,2010,1,January,1,3,Sun,7
2010-01-04 00:00:00,2010,1,January,1,4,Mon,1
2010-01-05 00:00:00,2010,1,January,1,5,Tue,2
2010-01-06 00:00:00,2010,1,January,1,6,Wed,3
2010-01-07 00:00:00,2010,1,January,1,7,Thu,4
2010-01-08 00:00:00,2010,1,January,1,8,Fri,5
2010-01-09 00:00:00,2010,1,January,1,9,Sat,6
2010-01-10 00:00:00,2010,1,January,1,10,Sun,7
2010-01-11 00:00:00,2010,1,January,1,11,Mon,1
2010-01-12 00:00:00,2010,1,January,1,12,Tue,2
2010-01-13 00:00:00,2010,1,January,1,13,Wed,3
2010-01-14 00:00:00,2010,1,January,1,14,Thu,4
2010-01-15 00:00:00,2010,1,January,1,15,Fri,5
2010-01-16 00:00:00,2010,1,January,1,16,Sat,6
2010-01-17 00:00:00,2010,1,January,1,17,Sun,7
2010-01-18 00:00:00,2010,1,January,1,18,Mon,1
2010-01-19 00:00:00,2010,1,January,1,19,Tue,2
2010-01-20 00:00:00,2010,1,January,1,20,Wed,3
2010-01-21 00:00:00,2010,1,January,1,21,Thu,4
2010-01-22 00:00:00,2010,1,January,1,22,Fri,5
2010-01-23 00:00:00,2010,1,January,1,23,Sat,6
2010-01-24 00:00:00,2010,1,January,1,24,Sun,7
2010-01-25 00:00:00,2010,1,January,1,25,Mon,1
2010-01-26 00:00:00,2010,1,January,1,26,Tue,2
2010-01-27 00:00:00,2010,1,January,1,27,Wed,3
2010-01-28 00:00:00,2010,1,January,1,28,Thu,4
2010-01-29 00:00:00,2010,1,January,1,29,Fri,5
2010-01-30 00:00:00,2010,1,January,1,30,Sat,6
2010-01-31 00:00:00,2010,1,January,1,31,Sun,7
2010-02-01 00:00:00,2010,1,February,2,1,Mon,1
2010-02-02 00:00:00,2010,1,February,2,2,Tue,2
2010-02-03 00:00:00,2010,1,February,2,3,Wed,3
2010-02-04 00:00:00,2010,1,February,2,4,Thu,4
2010-02-05 00:00:00,2010,1,February,2,5,Fri,5
2010-02-06 00:00:00,2010,1,February,2,6,Sat,6
2010-02-07 00:00:00,2010,1,February,2,7,Sun,7
2010-02-08 00:00:00,2010,1,February,2,8,Mon,1
2010-02-09 00:00:00,2010,1,February,2,9,Tue,2
2010-02-10 00:00:00,2010,1,February,2,10,Wed,3
2010-02-11 00:00:00,2010,1,February,2,11,Thu,4
2010-02-12 00:00:00,2010,1,February,2,12,Fri,5
2010-02-13 00:00:00,2010,1,February,2,13,Sat,6
2010-02-14 00:00:00,2010,1,February,2,14,Sun,7
2010-02-15 00:00:00,2010,1,February,2,15,Mon,1
2010-02-16 00:00:00,2010,1,February,2,16,Tue,2
2010-02-17 00:00:00,2010,1,February,2,17,Wed,3
2010-02-18 00:00:00,2010,1,February,2,18,Thu,4
2010-02-19 00:00:00,2010,1,February,2,19,Fri,5
2010-02-20 00:00:00,2010,1,February,2,20,Sat,6
2010-02-21 00:00:00,2010,1,February,2,21,Sun,7
